OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
39,Duke Homestead,http://durhamhoods.com/neighborhoods/duke-homestead/,14.8,0,12804,20,61,5,1972,12.8,19,2,4,41.7,42.6,0,85.1,53,11,39,0.046358423,-0.000106202,0.046358423,-0.000106202
40,Duke Park,http://durhamhoods.com/neighborhoods/duke-park/,54.7,0,1397865,55,219,28,1950,29.2,12,11,7,21.1,1.1,18.9,64,106,23,40,0.067088739,-0.000174174,0.067088739,-0.000174174
41,Duke West Campus,http://durhamhoods.com/neighborhoods/duke/,87.4,64384762,775865,4,13,5,1956,65.6,0,0,0,2,0,81.1,97.7,208,53,41,0.104844938,-0.000407234,0.104844938,-0.000407234
42,Eagle's Pointe,http://durhamhoods.com/neighborhoods/eagles-pointe/,84.3,0,4507404,0,21,0,2002,1.2,0,0,0,0,0,0,46.6,0,0,42,0.025112741,-2.5e-05,0.025112741,-2.5e-05
43,Eastway Village,http://durhamhoods.com/neighborhoods/eastway-village/,100.2,241001,50922047,126,495,90,1967,41.2,16,77,5,66.3,0,0,95.4,54,21,43,0.028787077,-2.88e-05,0.028787077,-2.88e-05
44,Edgemont,http://durhamhoods.com/neighborhoods/edgemont/,63.4,3645549,0,160,528,110,1957,59.9,17,135,6,96.9,0,0,100,156,52,44,0.064624704,-6.13e-05,0.064624704,-6.13e-05
45,Eno Commons,http://durhamhoods.com/neighborhoods/eno-commons/,0,0,0,0,0,0,1998,0,0,0,0,0,0,0,0,0,0,45,0.00884693,-4.51e-06,0.00884693,-4.51e-06
46,Eno Trace,http://durhamhoods.com/neighborhoods/eno-trace/,0,0,348872,14,43,0,1994,0,1,0,1,0,0,0,0,0,0,46,0.0338856,-5.47e-05,0.0338856,-5.47e-05
47,Fairfield,http://durhamhoods.com/neighborhoods/fairfield/,11.6,0,11471832,3,18,0,1995,0.4,0,0,0,0,0,0,0,0,0,47,0.047420164,-0.000101867,0.047420164,-0.000101867
48,Falconbridge,http://durhamhoods.com/neighborhoods/falconbridge/,6,11344,944311,3,102,0,1986,6,0,0,0,0,0,0,0,0,0,48,0.043198584,-9.12e-05,0.043198584,-9.12e-05
49,Fieldstone by the Eno,http://durhamhoods.com/neighborhoods/fieldstone-by-the-eno/,24.6,0,705965,3,30,3,1991,2.6,7,0,0,0,0,0,13.6,27,0,49,0.043470908,-8.58e-05,0.043470908,-8.58e-05
50,Five Oaks,http://durhamhoods.com/neighborhoods/five-oaks/,2.7,0,480025,6,39,0,1986,12.7,1,1,0,0,0,0,0,0,0,50,0.033581407,-4.64e-05,0.033581407,-4.64e-05
51,Five Oaks 4100,http://durhamhoods.com/neighborhoods/five-oaks-4100/,0,0,488566,39,696,0,1977,0,0,0,0,0,0,0,0,0,0,51,0.01167936,-6.69e-06,0.01167936,-6.69e-06
52,Folkstone,http://durhamhoods.com/neighborhoods/folkstone/,0,0,1192490,0,19,0,1985,7.7,0,0,0,58.3,18.8,0,62.5,0,0,52,0.015979916,-1.33e-05,0.015979916,-1.33e-05
53,Forest Hills,http://durhamhoods.com/neighborhoods/forest-hills/,31.3,0,3169058,28,93,21,1950,10.3,9,0,1,14.2,0,17,46.4,53,11,53,0.054379796,-0.000150101,0.054379796,-0.000150101
54,Forest Oaks,http://durhamhoods.com/neighborhoods/forest-oaks/,0,0,0,33,293,0,1987,0,0,0,0,0,0,0,74.1,0,0,54,0.012918317,-7.96e-06,0.012918317,-7.96e-06
55,Fortune's Ridge,http://durhamhoods.com/neighborhoods/fortunes-ridge/,15.3,0,372127,5,62,0,1987,10.8,0,1,1,0,14.5,2.5,39.3,81,11,55,0.041623802,-5.38e-05,0.041623802,-5.38e-05
56,Fox Run,http://durhamhoods.com/neighborhoods/fox-run/,0,0,0,0,5,0,1978,11.2,0,0,0,0,0,0,0,0,0,56,0.056070742,-0.0001131,0.056070742,-0.0001131
57,Garret Farms - Porchlight / Hartley,http://durhamhoods.com/neighborhoods/garret-farms-porchlight-hartley/,0,0,0,0,0,0,1989,0,0,0,0,0,0,0,0,0,0,57,0.007488812,-3.61e-06,0.007488812,-3.61e-06
58,Gatewood Forest,http://durhamhoods.com/neighborhoods/gatewood-forest/,42.1,0,0,14,82,14,2003,0,1,0,0,0,0,0,100,28,11,58,0.018913626,-1.89e-05,0.018913626,-1.89e-05
59,Glennstone,http://durhamhoods.com/neighborhoods/glennstone/,51.8,0,6983350,52,83,10,2006,0,1,1,0,0,0,0,0,0,0,59,0.030503543,-2.5e-05,0.030503543,-2.5e-05
60,Golden Belt,http://durhamhoods.com/neighborhoods/golden-belt/,54.8,2869997,5194166,138,276,77,1932,52.3,7,46,4,100,0,0,100,156,52,60,0.020259545,-1.69e-05,0.020259545,-1.69e-05
61,Grande Park,http://durhamhoods.com/neighborhoods/grande-park/,89.6,0,0,14,42,0,2001,2.2,0,0,0,0,0,0,0,0,0,61,0.019199278,-1.84e-05,0.019199278,-1.84e-05
62,Green Mill,http://durhamhoods.com/neighborhoods/green-mill/,0,0,0,0,66,0,1987,6.4,0,0,0,0,0,0,0,0,0,62,0.014520495,-1.18e-05,0.014520495,-1.18e-05
63,Grove Park,http://durhamhoods.com/neighborhoods/grove-park/,36,1471530,493885,6,37,0,1993,8.8,4,2,3,8.1,2.2,5.4,2.6,28,11,63,0.096673518,-0.000456277,0.096673518,-0.000456277
64,Heather Glen,http://durhamhoods.com/neighborhoods/heather-glen/,0,0,374620,0,0,0,1983,4,0,0,0,0,0,0,0,0,0,64,0.042358321,-9.67e-05,0.042358321,-9.67e-05
65,Highgate,http://durhamhoods.com/neighborhoods/highgate/,19.2,0,0,15,182,0,1996,0,0,0,0,100,83.3,100,100,0,0,65,0.02055866,-1.7e-05,0.02055866,-1.7e-05
66,Hope Valley,http://durhamhoods.com/neighborhoods/hope-valley/,14.4,0,1769728,8,39,9,1977,13.2,29,3,9,3.1,13.8,0.3,9.8,149,22,66,0.231514232,-0.000999959,0.231514232,-0.000999959
67,Hope Valley Farms,http://durhamhoods.com/neighborhoods/hope-valley-farms/,57.2,0,5074293,4,66,3,1999,3.3,13,7,4,0,1.9,0,24.3,108,22,67,0.142681215,-0.00036598,0.142681215,-0.00036598
